MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Numerical determination of the correct solvents to extract a phytochemical from coffee pulp using Hansen solubility parameters,,"risk assessment, sustainability evaluation, and economic analysis  Colombia, DYNA",0012-7353,2019,86,págs:,137 - 146,10.15446/dyna.v86n211.78530 ,"CARLOS ESTEBAN ARISTIZABAL ALZATE, ANDRES FELIPE VARGAS RAMIREZ, PEDRO NEL ALVARADO TORRES"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Validation of Parametric Models in Microelectrode Recordings Acquired from Patients with Parkinsons Disease,Colombia,Communications in Computer and Information Science,1865-0929,2019,1052,N/A,323 - 334,10.1007/978-3-030-31019-6_28 ,"SEBASTIAN ROLDAN VASCO, SEBASTIAN RESTREPO AGUDELO, ADRIANA LUCIA LOPEZ RIOS"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Hybrid Metaheuristic Optimization Methods for Optimal Location and Sizing DGs in DC Networks,Alemania,Communications in Computer and Information Science,1865-0929,2019,1052,1,214 - 225,10.1007/978-3-030-31019-6_19 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Estimation of Biological Parameters of Cutaneous Ulcers Caused by Leishmaniasis in an Animal Model Using Diffuse Reflectance Spectroscopy,Suiza,Sensors,1424-8220,2019,19,págs:,1 - 20,10.3390/s19214674 ,"DEIVID JOHAN BOTINA MONSALVE, RICARDO FRANCO CEBALLOS, JAVIER DARIO MURILLO ARROYAVE, JULY ANDREA GALEANO ZEA, ARTUR ZARZYCKI, MARIA CONSTANZA TORRES MADRONERO, CAMILO ALEJANDRO BERMUDEZ MEJIA, JAIME MONTANO, JOHNSON GARZON REYES, FRANCK MARZANI, SARA MARIA ROBLEDO RESTREPO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Integration of energy storage systems in AC distribution networks: Optimal location,,"selecting, and operation approach based on genetic algorithms  Países Bajos, Journal of Energy Storage",2352-152X,2019,25,N/A,1 - 8,10.1016/j.est.2019.100891 ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Characterization of polycaprolactone/rGO nanocomposite scaffolds obtained by electrospinning,,Materials Science '&' Engineering C-Materials for Biological Applications,0928-4931,2019,103,NA,1 - 12,10.1016/j.msec.2019.109773 ,"ESTEFANIA CORREA MUNOZ, MARIA ELENA MONCADA ACEVEDO, OSCAR GUTIERREZ, CARLOS ANDRES VARGAS ISAZA, VICTOR HUGO ZAPATA SANCHEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Surfactant concentration and pH effects on the zeta potential values of alumina nanofluids to inspect stability,Países Bajos,Colloids and Surfaces A: Physicochemical and Engineering Aspects,0927-7757,2019,123960,N/A,1 - 19,10.1016/123960 ,"KAREN PAOLA CACUA MADERO, FREDY ORDONEZ RAMOS, JUAN CAMILO ZAPATA HERNANDEZ, BERNARDO ARGEMIRO HERRERA MUNERA, ELIZABETH PABON GELVES, ROBISON BUITRAGO SIERRA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Spectral Band Subset Selection for Discrimination of Healthy Skin and Cutaneous Leishmanial Ulcers,Suiza,Lecture Notes in Computer Science,0302-9743,2019,11867,págs:,398 - 408,10.1007/978-3-030-31332-6_35 ,"RICARDO FRANCO CEBALLOS, MARIA CONSTANZA TORRES MADRONERO, JULY ANDREA GALEANO ZEA, JAVIER DARIO MURILLO ARROYAVE, ARTUR ZARZYCKI, JOHNSON GARZON REYES, SARA MARIA ROBLEDO RESTREPO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Experimental Evaluation of a Diesel Cogeneration System for Producing Power and Drying Aromatic Herbs,Suiza,Sustainability,2071-1050,2019,11,N/A,1 - 8,10.3390/su11185121 ,"LUIS CARLOS OLMOS VILLALBA, BERNARDO ARGEMIRO HERRERA MUNERA, ANDERSON GALLEGO MONTOYA, KAREN PAOLA CACUA MADERO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Triangular Matrix Formulation for Power Flow Analysis in Radial DC Resistive Grids with CPLs,Estados Unidos,IEEE Transactions on Circuits and Systems II: Express Briefs,1558-3791,2019,1,NA,5 - 1,10.1109/TCSII.2019.2927290 ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Vortex Search Algorithm for Optimal Power Flow Analysis in DC Resistive Networks with CPLs,Estados Unidos,IEEE Transactions on Circuits and Systems II: Express Briefs,1558-3791,2019,1,N/A,1 - 5,10.1109/TCSII.2019.2938530 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Revisión (Survey),Comportamiento fisicoquímico de compuestos de caucho natural al adicionar residuos agroindustriales como cargas reforzantes,Colombia,Revista Eia,1794-1237,2019,16,32,130 - 149,10.24050/reia.v16i32.1214 ,"WILLIAM URREGO YEPES, CARLOS ANDRES VARGAS ISAZA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Twin disc assessment of wear regime transitions and rolling contact fatigue in R400HT ¿ E8 pairs,Países Bajos,Wear,0043-1648,2019,432,N/A,1 - 8,10.1016/j.wear.2019.05.031 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Titanium dioxide modified with silver by two methods for bactericidal applications,Países Bajos,Heliyon,2405-8440,2019,5,5,1 - 6,10.1016/j.heliyon.2019.e01608 ,"ROBISON BUITRAGO SIERRA, JUAN FELIPE SANTA MARIN"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Evaluation of Mechanical and Thermal Properties of Polypropylene Modified With Nanostructured Zsm-5 Zeolite,Irán,Iranian Journal of Materials Science and Engineering,2383-3882,2019,16,3,1 - 17, ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Characterization of polycaprolactone/rGO nanocomposite scaffoldsobtained by electrospinning,,Materials Science '&' Engineering C-Materials for Biological Applications,0928-4931,2019,103,N/A,1 - 12,10.1016/j.msec.2019.109773 ,"ESTEFANIA CORREA MUNOZ, MARIA ELENA MONCADA ACEVEDO, OMAR DARIO GUTIERREZ FLOREZ, CARLOS ANDRES VARGAS ISAZA, VICTOR HUGO ZAPATA SANCHEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,A method for estimating electricity consumption patterns of buildings to implement Energy Management Systems,,Journal of Building Engineering,2352-7102,2019,25,N/A,100774 - ,10.1016/j.jobe.2019.100774 ,"ADOLFO ESCOBAR ORDONEZ, LUIS FERNANDO GRISALES NORENA, JAIRO ALBERTO DIAZ ACEVEDO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Population balance for capillary limit modeling in a screen mesh wich heat pipe working with nanofluids,Países Bajos,International Journal of Thermal Sciences,1290-0729,2019,138,págs:,134 - 158,10.1016/j.ijthermalsci.2018.12.015 ,KAREN PAOLA CACUA MADERO
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Method for estimating electricity consumption patterns of buildings to implement Energy Management Systems,Países Bajos,Journal of Building Engineering,2352-7102,2019,25,1,1 - 21,10.1016/j.jobe.2019.100774 ,"ADOLFO ESCOBAR ORDONEZ, LUIS FERNANDO GRISALES NORENA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Population balance for capillary limit modeling in a screen mesh wick heat pipe working with nanofluids,Países Bajos,International Journal of Thermal Sciences,1290-0729,2019,138,págs:,134 - 158,10.1016/j.ijthermalsci.2018.12.015 ,"BERNARDO ARGEMIRO HERRERA MUNERA, KAREN PAOLA CACUA MADERO, FARID CHEJNE JANNA, ANDERSON GALLEGO MONTOYA, MARCIA HENRIQUEZ MANTELLI, JUAN MANUEL MEJIA CARDENAS"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Silk fibroin hydrogels from the Colombian silkworm Bombyx mori L: Evaluation of physicochemical properties,Estados Unidos,PLoS ONE,1932-6203,2019,14,3,1 - 16,10.1371/10.1371 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,AERODYNAMIC PROFILES FOR APPLICATIONS IN HORIZONTAL AXIS HYDROKINETIC TURBINES,India,International Journal of Mechanical Engineering and Technology,0976-6340,2019,10,3,1962 - 1973, ,JUAN GONZALO ARDILA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimal Power Flow in Direct-Current Power Grids via Black Hole Optimization,República Checa,Advances in Electrical and Electronic Engineering,1336-1376,2019,17,1,24 - 32,10.15598/aeee.v17i1.3069 ,"OSCAR DANILO MONTOYA GIRALDO, LUIS FERNANDO GRISALES NORENA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Municipal Solid Waste as a Source of Electric Power Generation in Colombia: A Techno-Economic Evaluation under Different Scenarios,Suiza,Resources,2079-9276,2019,8,1,1 - 51,10.3390/resources8010051 ,"BONIE JOHANA RESTREPO CUESTAS, ALVARO JARAMILLO DUQUE, SANTIAGO ALZATE ARIAS"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,An Optical Diffuse Reflectance Model for the Characterization of a Si Wafer with an Evaporated SiO2 Layer,Suiza,Sensors,1424-8220,2019,19,1,1 - 6,10.3390/s19040892 ,"ARTUR ZARZYCKI, JULY ANDREA GALEANO ZEA, SYLWESTER BARGIEL, AURORE ANDRIEUX, CHRISTOPHE GORECKI"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Economic dispatch of energy storage systems in dc microgrids employing a semidefinite programming model,Países Bajos,Journal of Energy Storage,2352-152X,2019,21,1,1 - 8,10.1016/j.est.2018.10.025 ,"WALTER JULIAN GIL GONZALEZ, LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, ALEJANDRO GARCES RUIZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Intervención tecnológica para la reconversión y automatización de una máquina termoformadora por vacío de una sola estación,Colombia,Revista Eia,1794-1237,2019,16,32,181 - 194,10.24050/16i32.1333 ,"JUAN JOSE ARBELAEZ TORO, DIEGO ANDRES HINCAPIE ZULUAGA, CESAR AUGUSTO RODRIGUEZ LEDESMA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Conversion of Biomass-Derived Furanics to Fuel-Range Hydrocarbons: Use of Palm Oil Empty Fruit Bunches,Países Bajos,Waste and Biomass Valorization,1877-2641,2019,11,N/A,565 - 577,10.1007/s12649-019-00599-9 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Impact of optimal location and sizing of distributed generation and automatic reclosers in distribution systems,Reino Unido,International Journal of Power and Energy Conversion,1757-1154,2019,10,1,76 - 88,10.1504/IJPEC.2019.096724 ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, ALEJANDRO GRAJALES OTALVARO, RICARDO ALBERTO HINCAPIE ISAZA, MAURICIO GRANADA ECHEVERRI"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Power Flow Analysis in DC Grids: Two Alternative Numerical Methods,Estados Unidos,IEEE Transactions on Circuits and Systems II: Express Briefs,1549-7747,2019,1,1,1 - 5,10.1109/TCSII.2019.2891640 ,"OSCAR DANILO MONTOYA GIRALDO, LUIS FERNANDO GRISALES NORENA, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Efectos de los parámetros de electrospinning en las propiedades mecánicas y morfológicas de membranas compuestas de PCL-TrGO,,Revista Ingenio Ufpso,2011-642X,2019,16,1,43 - 49,10.22463/2011642X.2387 ,"ESTEFANIA CORREA MUNOZ, OSCAR GUTIERREZ, MARIA ELENA MONCADA ACEVEDO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Control of Formation of Intermetallic Compound in Dissimilar Joints Aluminum-steel,Irán,"International Journal of Engineering, Transactions A: Basics",1025-2495,2019,32,1,127 - 136,10.5829/ije.2019.32.01a.17 ,"EDWAR ANDRES TORRES LOPEZ, JONATHAN ANDRES GRACIANO URIBE"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,A Non-Invasive Procedure for Estimating the Exponential Model Parameters of Bypass Diodes in Photovoltaic Modules,,Energies,1996-1073,2019,12,2,1 - 20,10.3390/en12020303 ,LUZ ADRIANA TREJOS GRISALES
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Theoretical,,"numerical and experimental study of interchangeability of natural gas in Antioquia  Colombia, DYNA",0012-7353,2019,86,208,346 - 354,10.15446/dyna.v86n208.75116 ,"BERNARDO ARGEMIRO HERRERA MUNERA, EDWIN URIBE SALAZAR, IVAN DARIO BEDOYA CARO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Improvement of Mechanical Properties of Pineapple Leaf Fibers by Mercerization Process,Corea del Sur,Fibers and Polymers,1229-9197,2018,19,12,2604 - 2611,10.1007/s12221-018-8522-3 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Modification of ASTM B107 AZ31 and polypropylene surfaces with TiO2 particles using the dip-coating method,Colombia,Inge Cuc,0122-6517,2018,14,2,45 - 54,10.17981/ingecuc.14.2.2018.04 ,JUAN FELIPE SANTA MARIN
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Numerical simulation of hydrokinetic turbine with a horizontal axis using a third generation diffuser,Turquía,International Journal of Renewable Energy Research,1309-0127,2018,8,4,101 - 115, ,"JORGE ANDRES SIERRA DEL RIO, DIEGO ANDRES HINCAPIE ZULUAGA, CRISTIAN CAMILO CARDONA MANCILLA, EDWIN LENIN CHICA ARRIETA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimal power dispatch of DGs in DC power grids: a hybrid Gauss-Seidel-Genetic-Algorithm methodology for solving the OPF problem,Grecia,Wseas Transactions On Power Systems,1790-5060,2018,13,1,335 - 346, ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, WALTER JULIAN GIL GONZALEZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Enzymes and cytokines disease in total hip arthroplasty: promoters of immune loosening,Colombia,Revista De La Facultad De Medicina,2357-3848,2018,66,3,477 - 484,https://doi.org/10.15446/revfacmed.v66n3.61525 ,"VICTORINO PACHECO MARTELO, SEBASTIAN ROLDAN VASCO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Microgrid analysis using HOMER: a case study,Colombia,DYNA,0012-7353,2018,85,207,129 - 134,http://doi.org/10.15446/dyna.v85n207.69375 ,"LUZ ADRIANA TREJOS GRISALES, BONIE JOHANA RESTREPO CUESTAS, DAVID RESTREPO HERRERA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Automatic detection of oral and pharyngeal phases in swallowing using classification algorithms and multichannel EMG,Colombia,Journal of Electromyography and Kinesiology,1050-6411,2018,43,págs:,1 - 25,10.1016/j.jelekin.2018.10.004 ,"SEBASTIAN ROLDAN VASCO, YORHAGY VALENCIA MARTINEZ, ANDRES FELIPE OROZCO DUQUE, SEBASTIAN RESTREPO AGUDELO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Microgrid analysis using HOMER: a case study,Colombia,DYNA,0012-7353,2018,85,207,129 - 134,http://doi.org/10.15446/dyna.v85n207.69375 ,"BONIE JOHANA RESTREPO CUESTAS, LUZ ADRIANA TREJOS GRISALES, DAVID RESTREPO HERRERA"
MATERIALES AVANZADOS Y ENERGÍA,Revisión (Survey),Nanofluids stability effects on the thermal performance of heat pipes,Hungría,Journal of Thermal Analysis and Calorimetry,1588-2926,2018,1,N/A,1 - 18,doi.org/10.1007/s10973-018-7787-5 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Plantain fibers obtained from pseudostems residues for efficient color degradation of indigo carmine dye,Países Bajos,Industrial Crops and Products,0926-6690,2018,126,N/A,302 - 308,10.1016/j.indcrop.2018.10.030 ,ROBISON BUITRAGO SIERRA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Optimization of a Drive Shaft using PSO Algorithm,Grecia,WSEAS Transactions on Applied and Theoretical Mechanics,1991-8747,2018,13,1,130 - 139, ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, JUAN GONZALO ARDILA MARIN, JORGE ANDRES SIERRA DEL RIO, MIGUEL ANGEL RODRIGUEZ CABAL"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Effectiveness analysis of the ITM environmental programs: saving and efficient use of electric energy and water,,"and comprehensive solid waste management. A case study  Colombia, DYNA",0012-7353,2018,207,págs:,36 - 43,https://doi.org/10.15446/dyna.v85n207.69309 ,"JOSE LUIS GONZALEZ MANOSALVA, CARLOS ESTEBAN ARISTIZABAL ALZATE"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Study of the padding effects in numerical reconstruction of digitally recorded holograms,Países Bajos,Optik,0030-4026,2018,169,2018,109 - 117,https://doi.org/10.1016/j.ijleo.2018.05.033 ,"DIEGO ANDRES HINCAPIE ZULUAGA, JORGE ALEXIS HERRERA RAMIREZ, JORGE IVAN GARCIA SUCERQUIA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Localización y Dimensionamiento Óptimo de Generadores Distribuidos y Bancos de Condensadores en Sistemas de Distribución,Colombia,Scientia Et Technica,0122-1701,2018,23,3,308 - 314,10.22517/23447214.16691 ,"LUIS FERNANDO GRISALES NORENA, OSCAR DANILO MONTOYA GIRALDO, CARLOS ALBERTO RAMIREZ VANEGAS"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Continuous Wavelet Transform for Muscle Activity Detection in Surface EMG Signals During Swallowing,Colombia,Communications in Computer and Information Science,1865-0929,2018,916,N/A,245 - 255,10.1007/978-3-030-00353-1_22 ,"SEBASTIAN ROLDAN VASCO, ESTEFANIA PEREZ GIRALDO, ANDRES FELIPE OROZCO DUQUE"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Experimental Investigations and CFD Simulations of the Blade Section Pitch Angle Effect on the Performance of a Horizontal-Axis Hydrokinetic Turbine,Tailandia,Engineering Journal,0125-8281,2018,22,5,141 - 154,https://doi.org/10.4186/ej.2018.22.5.141 ,"DIEGO ANDRES HINCAPIE ZULUAGA, EDWIN LENIN CHICA ARRIETA, CRISTIAN CAMILO CARDONA MANCILLA, EDWAR ANDRES TORRES LOPEZ, SERGIO CIPRIANO AGUDELO FLOREZ, JUAN JOSE ARBELAEZ TORO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Computational Fluids Dynamics Analysis at First,,"Second and Third Hydrokinetics Turbine Generation  India, Indian Journal of Science and Technology",0974-5645,2018,11,36,2 - 8,10.17485/ijst/2018/v11i36/129278 ,"JORGE ANDRES SIERRA DEL RIO, DIEGO ANDRES HINCAPIE ZULUAGA, CRISTIAN CAMILO CARDONA MANCILLA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Heat Exchangers with Double Passive Enhancement,Bulgaria,Contemporary Engineering Sciences,1314-7641,2018,11,70,3445 - 3462,doi.org/10.12988/ces.2018.87321 ,"MIYER JAIVER VALDES ORTIZ, JUAN GONZALO ARDILA MARIN"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,EVALUACIÓN DEL EFECTO DE LAS TENSIONES RESIDUALES EN PIEZAS PLÁSTICAS INYECTADAS Y SU DESEMPEÑO MECÁNICO,Venezuela,Revista de la Facultad de Ingenieria,0798-4065,2018,33,págs:,33 - 44, ,"CARLOS ANDRES VARGAS ISAZA, JUAN DIEGO SIERRA MUNETON, JUAN CARLOS POSADA CORREA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Water vapor adsorption performance of Ag and Ni modified 5A zeolite,,Microporous and Mesoporous Materials,1387-1811,2018,265,págs:,250 - 257, ,"WILSON ALBEIRO HENAO SIERRA, MANUEL ROMERO SAEZ, KAREN PAOLA CACUA MADERO, ROBISON BUITRAGO SIERRA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Numerical Study of the Effect of Passive Techniques in TubeIn-Tube Helical Heat Exchanger,Italia,Chemical Engineering Transactions,2283-9216,2018,70,págs:,1495 - 1500,10.3303/CET1870250 ,"LUIS FERNANDO GRISALES NORENA, JUAN GONZALO ARDILA MARIN, MIYER JAIVER VALDES ORTIZ"
